par_id,community,text,label
4341,poor-families,"The scheme saw an estimated 150,000 children from poor families being sent to parts of the British Empire between 1920 and 1974 , by religious orders and charities who said they would lead better lives .",1
4136,homeless,Durban 's homeless communities reconciliation lunch,1
10352,poor-families,"The next immediate problem that cropped up was how to assist the unfortunate couple , as neither of them possessed a birth certificate , a marriage certificate , or even an identity card . The Samurdhi Officer Dhanapala lamented explaining how agonizing it was for him to bear , when he came across the majority of poor families in the village did not possess even an ID to assist them officially .",1
8279,vulnerable,Much more important than the implications for the gods of the economy (the dollar up or down?) The results last night will also mean that many vulnerable New Zealanders will have a better life in the next three years.,1
1164,poor-families,"To strengthen child-sensitive social protection systems , including cash transfer programmes that directly help poor families to pay for food , health care , education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives .",1
7568,homeless,"Today, homeless women are still looking for the same thing. A place to sleep and be safe.",1
6027,homeless,"As a member of Care of Hope , Barnett provides food for the street people catered to by the foundation on a regular basis . She , however , does n't mind having to cook to feed the homeless and the needy she said , because this is basically something that is already up her alley .",1
9343,hopeless,"""Lougene has this message to others who may still be hooked on illegal drugs : """" Do n't be hopeless because there is hope . You can still change . That 's why whenever I see on TV drug users and dealers that were killed , I say to myself they should have been given a chance to change by bringing them to a place such as this . """"""",1
1231,homeless,"A heartbreaking night of the trip falls early in this part of Morocco now and a cold winter is looming, encouraging the homeless Africans to try their luck before the conditions worsen, and in the midst of a treatment sometimes severe by the authorities.",1
911,poor-families,"Those from poor families were more likely to leave school without qualifications , have babies before they were 20 , commit crimes , go on welfare and have addiction and other mental health problems in adulthood .",1
5431,homeless,"In the midst of all these alignments and repositioning , the mass of Nigerians have remained poor , unhealthy , uneducated , unemployed , homeless , hungry , destitute and abandoned . But at the first hint of trouble , those with direct access to state resources and those who want direct access will play the ethnic , religious or gender card to achieve the desired result .",1
9047,homeless,"This is in a renewed effort to focus attention on the plight of the homeless , orphaned , abandoned , abused and indigent children across the African continent , a passion which Sirleaf shares with the foundation .",1
951,homeless,"With his wife Vicky, Cornell created Chris & amp; Vicky Cornell Foundation, a charitable organization that works with vulnerable children. The charitable organization is currently focusing on the protection of these children of homelessness, poverty, abuses and negligence. <h> 7. Cuba concert",1
606,vulnerable,"Born a Christian , my HUMILITY and RESPECT for especially the elderly and young of our society is very firm , apt and intact . In like manner , my DEFENCE and JUSTICE for the helpless and vulnerable is very much same .",1
6950,homeless,From sleeping rough to becoming a published author : This man 's story will make you think twice about ignoring the homeless,1
2385,poor-families,""""""" Bruce has done a fantastic job in training youngsters , especially the youngsters that come from the poorest of the poor families , who would never have even had an opportunity to even buy a cricket bat . """"""",1
4491,poor-families,""""""" Volleyball is our reputation in schools ' sport . But as an underprivileged school we are not in a position to give all the facilities needed by the players . Moreover these boys come from poor families and sadly the parents too are not in a state to render their support apart from their humble blessings . Our boys are very brave to win two or three titles in four to five tournaments annually which is a great achievement from our point of view , """" Lakshan added .""",1
2872,homeless,"""Ms. Archibald"" had room in his heart for everyone and firmly believed that each person had to be valued and respected, ""said the family, noting that they were working in a shelter for homeless before moving abroad. """" She would have no understanding of the insane cruelty that caused her death. """" """" """,1
9054,poor-families,"Even though many of these students get selected to subordinate services , the service is capable of uplifting their poor families . <h> Impact",1
5629,homeless,"A child huddled against her pregnant mother , among 10 other homeless children with their families in Nuwara Eliya town , struggling to shield themselves from freezing temperatures which dropped below eight degrees Celsius , was among the scenes witnessed on Thursday night .",1
853,poor-families,"""Iain Duncan-Smith has clearly explained his feelings about the benefits: poor families must have prepaid cards, responsible for payments, to make sure they spend money for food, rather than their"" self-destruction habits """". """,1
2485,in-need,"""In addition, Chan revealed that"" ""Care and Sharing"" will be a main theme of the upcoming budget plan, that is to say to help social groups that need to reach the goal of supporting disadvantaged and helping children make society more harmonious. """"",1
3920,homeless,"5 ) Most Buddhist institutions and temples collectively have no programmes to assist refugees , or provide shelter for homeless children or provide rehabilitation services . In contrast , the well established Christian churches and new evangelical groups are active at village and town levels in helping affected individuals e.g. victims of political violence , come to terms with their grief . Further , they also help people to cope with more mundane problems ( 22 ) .",1
2803,vulnerable,"The AIMMM registers its full sympathy with the hapless female victims of violence and rape crimes , especially the young lady brutalised by beasts on a moving Delhi bus in the night of 16 December which has rightly agitated a large section of Indians . All such crimes against women and weaker sections , especially minorities , Dalits and Adivasis are highly condemnable and show the whole country in extremely bad light . It is time people , police , judiciary and government agencies stood up to discharge their duties to protect the weak and vulnerable sections of society . The AIMMM urges the government to introduce deterrent punishments for such brutal crimes . It should also hasten with the overdue Police reforms to liberate the police force from the British Raj rules and make it capable and accountable to protect all citizens , human rights and honour of ordinary people .",1
668,in-need,"He is more than a simple employer of his staff, who includes young people at risk and single parents. Food and rent are paid, and it displays necessities such as compensation or children's transport costs if someone needs it. Each month, the qualified prison advisor also organizes mentoring sessions for his staff.",1
