par_id,community,text,label
9342,in-need,"Wow , all five of these women are so dedicated and have given so much back to those in need , it is so inspiring ! What do you guys think of their flawless covers ? VOTE @",1
7349,homeless,The charity has a number of success stories where people have been homeless and are now leading happy lives in employment .,1
4693,disabled,"The games are also in line with Emperor Gaza International Foundation 's objectives of empowering the disabled , the marginalized rural forks , women , children and the aged , under-privileged , unfortunate ones in society by inculcating in them the can-do spirit , in order to integrate them into the mainstream society , for them to play an active role in the overall development of the world .",1
6241,homeless,"A lot of people just don ? ? ? t recognize the extent of what we ? ? ? re doing in the community , that there are people living with homelessness and how we ? ? ? re bringing them to a life of self-sufficiency and independence .",1
1115,hopeless,""""""" We have to sit down , dialogue with those who are agitating and start looking at meaningful solutions that can give them hope . Once a country makes her people to develop a sense of hopelessness , the people will agitate a lot . """"""",1
1052,homeless,"There is infinitely more to be done , of course , starting with the elderly who are ailing , homeless , and otherwise no longer able to provide for themselves . It was as early as 1994 when President Fidel V. Ramos signed Proclamation No. 470 directing the executive branch to design a social welfare program that will promote the wellbeing of the elderly .",1
9762,vulnerable,"""Cosatu deputy president Zingiswa Losi will join his counterpart at the National Union of Metalworkers of SA , Christine Olivier , and representatives from the ANC Women 's League and Sadtu to """" dispense sanitary towels to 345 vulnerable and poor girl pupils """" at Tyongwana Senior Primary School outside Port St Johns in the Eastern Cape .""",1
5773,homeless,"The Drop In Centre in Eruera Street needs urgent permission to also serve as an Over Night Shelter until other options are ready , according to the Rotorua District Residents and Ratepayers Association , so that the homeless currently sleeping rough survive the winter .",1
1397,migrant,Out of place : A man in a suit and his smartly dressed companion walk past a family of migrants drying their clothes on the railing by the sea front at Kos,1
8154,poor-families,"""This raises the question about the network of religious """" madrassa """" education , where children from poor families are indoctrinated to carry out suicide attacks . Several suicide bombers in recent months have been teenage children forced to embrace the bomb instead of the book . Yet global outrage is , so far , absent on this issue . <h> Roadblocks in schools""",1
1264,in-need,"The European Union together with its Member States is the world 's leading donor of humanitarian aid . Relief assistance is an expression of European solidarity towards people in need around the world . It aims to save lives , prevent and alleviate human suffering , and safeguard the integrity and human dignity of populations affected by natural disasters and man-made crises . For more information , please visit ECHO 's website .",1
1001,in-need,"""IS first captured the city in 2014 and tens of thousands who fled are badly in need of aid , with charities saying """" camps are bursting at the seams """" .""",1
5430,homeless,"It is the government 's duty to ensure homeless people are well taken care of , especially as the weather in Hong Kong has been quite cold these days , a non-governmental human rights advocacy group said ....",1
6715,homeless,"""The establishment of a library is an ideal benchmark for serving the society , """" Bipin Rai from DUSIB said . He also assured government assistance in future for such initiatives . According to Amod Kanth , founder and general secretary , Prayas JAC Society , said the library will instill a sense of confidence in the homeless and will help in changing their perspective towards life .""",1
589,in-need,"""Commenting on the recognition Ahmed Said Al Ibrahim General Manager &amp; Chief Corporate Services Officer noted : """" Blood donation helps healthcare institutions provide safe blood units for those in need of urgent blood transfer . We are honored to receive the recognition by the Ministry of Health represented by the Department of Blood Banks Services . The appreciation will motivate us to organize more blood donation drives . As we all know that donating blood is a noble thing to do and it helps safe lives and enhances the health and wellbeing of those who need it the most . """"""",1
5639,homeless,His wife and children felt the need to help the poor and continue the tradition of their father and collectively formed a trust in their father 's name called The J. M. M. Raji Trust . As a pilot project they built a housing scheme called The Village of Hope and distributed houses for the homeless from Beruwela and neighbouring Dharga Town .,1
