par_id,community,text,label
9342,in-need,"Wow, these five women are so dedicated and have returned so much to those who need it, it's so inspiring! What do you think of their impeccable covers? Vote @",1
7349,homeless,The charitable organization has a number of success stories where people have been homeless and now lead a happy life in employment.,1
4693,disabled,"The games also comply with the objectives of the Emperor Gaza International Foundation to empower the disabled, marginalized rural forks, women, children and the elderly, under-priviégiés and unhappy in society by instilling in them the spirit perhaps, in order to integrate them into ordinary society, for them to play an active role in the global development of the world.",1
6241,homeless,"Many people don't do it? ? ? Do you recognize the extent of what we? ? ? Do in the community, that there are people living with homelessness and how we? ? ? Bring them to a life of self -sufficiency and independence.",1
1115,hopeless,""""" ""We have to sit down, dialogue with those who are agitating and start to look at significant solutions that can give them hope. Once a country has made its people develop a feeling of despair, people will wave a lot."" """"",1
1052,homeless,"There is infinitely more to do, of course, starting with the elderly who are sick, homeless and otherwise are no longer able to provide for their needs. It was as early as 1994 that President Fidel V. Ramos signed proclamation No. 470 ordering the executive branch to design a social protection program which will promote the well-being of the elderly.",1
9762,vulnerable,"""The vice-president of the Cosatu, Zingiswa Losi, will join his counterpart at the National Union of Metallurgrers of SA, Christine Olivier and representatives of the Women's and Sadtu League of Women to"" Dissess Health Towels with 345 vulnerable and poor """" in Tyongwana Senior School outside Port St Johns Eastern. """,1
5773,homeless,"The Drop In Centre in Eruera Street needs urgent permission to also serve as an Over Night Shelter until other options are ready , according to the Rotorua District Residents and Ratepayers Association , so that the homeless currently sleeping rough survive the winter .",1
1397,migrant,Outside place: a man in costume and his intelligently dressed companion pass in front of a family of migrants who dry their clothes on the balustrade by the front of the sea in Kos,1
8154,poor-families,"""This raises the question about the network of religious """" madrassa """" education , where children from poor families are indoctrinated to carry out suicide attacks . Several suicide bombers in recent months have been teenage children forced to embrace the bomb instead of the book . Yet global outrage is , so far , absent on this issue . <h> Roadblocks in schools""",1
1264,in-need,"The European Union with its Member States is the main donor of the humanitarian aid world. Help assistance is an expression of European solidarity towards people in need in the world. It aims to save lives, prevent and relieve human suffering and protect human integrity and dignity from the populations affected by natural disasters and artificial crises. For more information, please visit the Echo website.",1
1001,in-need,"""Is first captured the city in 2014 and tens of thousands of people who fled have a lot of help, the charitable organizations saying"" ""the camps break out with"" ""seams.""",1
